,comment_text,true_labels,pred_labels
10,got see neighbor inside life chance . happening . take mind,['Drama'],['Romance']
11,raven start sing people die unstable world weak government mafia escaping sin . order reduce unpunished crime committed mafia strength born agent merciless kill withought hesitation . last enforcement organization known red raven,"['Action', 'Drama', 'Sci Fi', 'Shounen']",['Action']
12,unusual restaurant located suburb japan invite take look livelihood staff . appeal sens mention cookware personified . pandra restaurant begin cutting board journey find place restaurant easy plastic cutting board amongst experienced utensil make,"['Comedy', 'Romance']",['Comedy']
13,man call hakase professor work top class . engineering . wish create perfect android want use beautiful male model hinatsu base . hakase becomes bit obsessed real hinatsu investigation . hakase perverted many strange thing learn anything everything hinatsu . hinatsu want nothing nut job wish look little sister . hinatsu seems get dragged hakase mess trouble keep coming way,"['Comedy', 'Fantasy', 'Romance', 'School Life']",['Yaoi']
14,sakurai new hire secret relationship bos chief akimoto . even though chief gentle suave unexpectedly pro come department still old man sakurai eye . however akimoto see right rather naive sakurai spoil point keep demanding come regret,"['Comedy', 'Yaoi']",['Yaoi']
15,valt aoi total newbie come beyblade battle one beat love game . valt set sight district tournament held hometown . first master move technique show . natural talent shine,"['Action', 'Comedy', 'Shounen']","['Action', 'Adventure', 'Comedy', 'Shounen']"
16,year num tide zombie outbreak exploded everyone homeland humanity launch large scale battle endless night awaiting arrival dawn . end approaching going way . faith shattered piece buried ash raging fire . within blazing fire newborn hope arise,"['Action', 'Supernatural']",['Action']
17,whether tongue body use . long man fell love . back old alley yoruji always looking night sky . finally opened ramen shop yogoto despite name far cry away beloved star . however one late night yoruji discovers akemi posse special tongue . two begin work together order make best tasting ramen . amazing talent akemi . ramen love . yoruji akemi heading towards dawn please enjoy taste ueda aki strong flavored love,"['Romance', 'Yaoi']",['Yaoi']
18,second son family beauty naruse shouta world famous hairstylist model . constantly shower affection ichii hisashi grim pure hearted high school student life across street . due self imposed num prohibited rule shouta impatiently waiting hisashi grow . however none soon hisashi num birthday approach,"['Comedy', 'Romance', 'Yaoi']","['Drama', 'Yaoi']"
19,deep sandy plain middle eastern kingdom asran japanese photojournalist makoto shinjou travel remote airbase area num document activity mercenary destroy country enemy living . among rank shin kazama japanese ace pilot tricked former best friend signing contract asran fighter squad . lost career airline pilot chance marry fiancee ryoko tsugumo . shin three choice order leave area num return japan serve mercenary group three year earn num num million desert base risking imminent death,"['Action', 'Drama', 'Romance', 'Shounen']","['Action', 'Drama']"
20,num nagamori kasumi new employee model agency cute face make look much younger real age . famous japanese model nishimuro shiki work agency . called cinderella boy . fact num year old kid pretty harsh personality drive assistant away one . enough constant whim manager tell choose assistant . shiki decides pick kasumi,['Romance'],"['Romance', 'Yaoi']"
21,accident ski resort ruined dream becoming ballet star . fell coma courage wake world cruel . still hope . one truly love brought new life . stand ready pursue dream . time tackle difficulty life . meet prince charming one day life happily like cinderella fairy tale,"['Romance', 'Supernatural']","['Drama', 'Romance']"
22,two year since god candidate tournament ueki mori graduate middle school reunite former teammate entire world loses memory people care . locating culprit ueki mori discover lost memory stored within bizarre animal named wool release ueki person unaffected phenomenon must travel megasite within world hangenkai land populated power user . lost power turn trash tree unable use sacred weapon ueki obtain new strength manage make megasite return world normal,"['Action', 'Shounen']","['Action', 'Comedy', 'Fantasy', 'Shounen']"
23,christmas eve . failing confess yuji sunbae gyunwoo meet boy dressed space suit fallen like shooting star . month since taken care strange boy nowhere today day high school entrance ceremony . gyunwoo excited hear attending school yuji sunbae transfer student look act . like yuji sunbae appears front,[],"['Comedy', 'Romance', 'School Life']"
24,turbulent time world murim number num kidnapped child brought demonic faction order train way assassination . enduring harsh training surviving till end able earn title mook hyang . however mook hyang always insatiable thirst desire sword . time mook hyang met new master blade illusion yoo baek became turning point life . mook hyang able rise profound demonic realm aiming life . story mook hyang end fighting numerous martial master order achieve goal,"['Action', 'Fantasy']","['Action', 'Fantasy']"
25,dyngir maxwell successor margrave eastern province lamperouge kingdom infamous womanizing habit proved multiple time conflict neighboring country major player domestic politics well trusted noble . everything sailing smoothly dyngir life changing event occurred dyngir maxwell . hereby declare engagement selena void . dyngir believed relationship fiancee idyllic actually affair crown prince sullivan . moronic prince even dared slander good name maxwell house game going play . picked fight wrong person,"['Action', 'Fantasy', 'Romance']",['Romance']
26,nozomi birthday disturbed bunbee chasing girl another world chocola . pretty cure rescue thanks taking country dessert kingdom . cockaigne river juice candy growing tree feel comfortable . meet evil mushiban two subordinate dry bitter . want take kingdom change pretty cure sweet . order save nozomi birthday also whole dessert kingdom pretty cure fight way dry bitter also friend coco brainwashed mushiban,[],"['Fantasy', 'Romance', 'Shoujo']"
27,kieron made name newspaper world scoop beth life used get scoop changed worse . made thing even harder pregnant baby . three year passed beth changed name starting new job . little know new bos daily globe none kieron,['Romance'],['Romance']
28,story take place fantasy world planet note . human longer sing pair member tribe non human sing . sound user otokata singer utakata . together use sound song weapon competition,['Fantasy'],['Fantasy']
29,one day itsuki beast like boy vibrant fluttering gold mane sharp gaze could kill appears plain old rika . know trouble resist tasting sweet poison bared fang . tell love . action desire stop even devoured heart torn shred,['Romance'],"['Drama', 'Romance']"
30,one grim reaper share job watch people eventually escort soul afterlife . extraordinary circumstance reaper give soul extra num minute num second life resolve something left unfinished meant used exceptional circumstance . join one reaper care much soul allow die without one last chance life . winner grand prix silent manga audition,[],['Supernatural']
31,kashe arbadel young student sorcerer academy . although posse potential magic user also penchant getting trouble especially loses control magical monster . important ancient treasure stolen academy collection . unfortunately none senior sorcerer available although know skill limited academy headmaster decides send kashe track missing treasure . ability making friend human magical creature serf well quest . talented thief beautiful young vampire join journey battle human army horde undead,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Shounen']","['Action', 'Fantasy']"
32,maou demon lord daughter hana hero . others demon transferred human world world destroyed . story num year since came demon world . maou doting father hana become lone high school girl hero still wanting beat demon,"['Comedy', 'Drama', 'Romance', 'School Life', 'Shoujo', 'Supernatural']","['Comedy', 'Fantasy']"
33,num season yami shibai . series short horror story full mystery darkness . supernatural phenomenon japanese folktale told mysterious old man middle forest,['Supernatural'],[]
34,slaying mammoth simply getting good seat class harima still outdoing order confess love tenma stumble upon simple fact can not make realize reason support yakumo harima relationship . yakumo thing take strange turn . always idolized never many close contact yet suddenly approached two girl . one named sarah want become close friend yakumo ghost want know yakumo opinion boy,"['Comedy', 'School Life', 'Shounen']","['Comedy', 'Drama', 'Romance', 'School Life', 'Shounen']"
35,hina japanese foreign student . junho sufferer elite ocd . girl way seeing world . campus life story three people . deal issue japanese korean global society,"['Drama', 'Romance']","['Drama', 'Romance', 'School Life']"
36,story begin hero heroine reunite seven year later . heroine overly cautious entertainer hero wealthy tycoon . loved misunderstanding seven year ago thought interested . luckily experiencing many hardship together uncovering truth lover finally got married stepped realm happiness,"['Drama', 'Romance']",['Romance']
37,second floor gym always met . class time course class going place like . shimamura became friend . hung talking show cooking playing ping pong . fostered friendship . keeping head propped wall let small sigh . feeling . yesterday dreamt shimamura kissing . like . sure shimamura either . even something worth repeating really like . hears word friend want think first,['Romance'],"['Romance', 'Yaoi']"
38,classmate always intimidated height hence received nickname big sister sixteen year . far truth . coward dare say mind also super scared horror movie . like every girl love sake guy like volunteered committee school cultural festival unfortunately class chose haunted house theme get,"['Drama', 'Romance', 'School Life', 'Shoujo']","['Comedy', 'Romance', 'School Life', 'Shoujo']"
39,battle olympia tournament heaven arena begin . gon killua kurapika leorio plan watching match along hunter vip attendance . wait raid shadow end festivity . skilled fighter fall one one terrifying ability called dark power derived malice . leader jed capture netero declares death hunter name vengeance gon killua rush defeat prevail,"['Action', 'Shounen']","['Action', 'Shounen']"
40,kelly carlyon major surprise first day new hospital immediate superior lover luca ferrero . relationship ended quickly spark ignite kelly save luca son car accident . luca moved past started family still hope kelly professionally personally,['Romance'],['Romance']
41,rose young girl stubbornly belief high class princess . one came kidnap slightly restless girl somehow ended heinous pirate crew member phantom . blood race set sail love romance adventure . ahoy,"['Action', 'Adventure', 'Romance', 'Shoujo']","['Romance', 'Shoujo']"
42,ide prefectural high judo club well renowned least used . kametarou hayashida enrolls school reason discovers club verge shutting save . group new captain kametarou best find new member rally team current misfit hopefully manage get national championship,"['Comedy', 'Romance', 'School Life', 'Shounen']",[]
43,deronga five alpha unstable vicious dying planet according study used lush planet kind different specie . captain bagures cold cruel leader research craft sends military team suicide mission planet . team violently slain leader team cannon vow vengeance bagures last breath . num year later spaceship oruganera dock near deronga five alpha watch death planet . planet explodes creature attache onto spaceship,"['Action', 'Adventure', 'Sci Fi']","['Action', 'Sci Fi']"
44,meet megumi . petite adorable total eye catcher . fact reminds almost everyone school elite missing boy student kei yoshikawa . whisper wild rumor begin run riot hallway exclusive school rooftop powerful clique campus sight set sweet megumi . good friend makoto shield showdown help skirt issue . secret big keep,"['Comedy', 'Drama', 'Romance', 'School Life', 'Shoujo']","['Romance', 'School Life', 'Shoujo']"
45,bathroom home broken going public bath house . kind look forward boy meet getting bath . get meet tomorrow . knowing sure love say,"['Romance', 'School Life', 'Shoujo']",['Romance']
46,constant defines circle . never ending sawaki yumeto majestic number direct relationship favorite thing boob . one day realizes mystic relationship perfect breast . conducted research calculation determine perfect breast needed raw data . yumeto used unpopular ugly quest shed blood sweat tear change appearance style handsome young man . tamura jun classmate absent majority school year return yumeto realizes might perfect boob searching . getting going harder could possibly imagine,"['Comedy', 'Romance', 'School Life']","['Comedy', 'Romance']"
47,even though spent hot night together manuk appear betrothed one . betrothed prince chan young age princess hwa min received manuk token marriage show . unlike anxious hwa min relaxed chan covets like animal . bad intention observing two concubine yuru strong backing sinister scheme brewing,"['Drama', 'Romance']",['Romance']
48,private tenshou gakuen seventh ten school district circled within num meter tall wall restricted entry egress aside official . academy fully autonomous government strive independence school allows student engage club activity school come strangely unique system . club ranked according overall accumulated point gathered various club activity school event . point also received winning school periodic tenshou gakuen singing contest many student compete . member club work hard win contest goal,[],[]
49,aida man decent appearance fell love class idol yano kokoro changed seat class get closer . studied shoujo manga claim girl planet love try use knowledge win heart . however yano realistic girl seem fond approach,"['Comedy', 'Romance', 'School Life', 'Shounen']","['Comedy', 'Romance', 'School Life', 'Shoujo']"
50,kotori normal girl always tempted wrong path . lived normal boring everyday life trying hard follow dream bold chubby straw bale cat walked life . cat god luck . become god misfortune lead kotori wrong path . fluffy fat cat open door story woman struggle everyday life,"['Comedy', 'Shounen']",['Comedy']
51,bitch whose child . dirty deal made life big change . thought marriage would happy fact bet . five year later changed lot came back child . said give child time . time cost life,['Romance'],"['Drama', 'Romance']"
52,finally decided live . many time say satisfied taku . neighbor lover absolutely live together long hiromu past self threatens return . easy going hottie taku fall hard hiromu former gay bar employee full insecurity . peaceful life together filled brim lovey dovey moment . manga includes story taku hiromu first meeting well comic disturbed clumsy yet infinitely charming satoshi lover,['Yaoi'],['Yaoi']
53,mizuki ashiya teen japanese girl growing usa . seeing japanese track star izumi sano one day became instantly enamored grace style became determined find confess love . able transfer boy school hiding feminine identity find roommate process . however rest classmate simply suspect girly boy sano see time together must try keep ashiya true gender secret . ashiya must try confess man love also help work personal issue keep secret safe school process,"['Comedy', 'Drama', 'Romance', 'School Life', 'Shoujo']","['Comedy', 'Romance', 'School Life', 'Shoujo']"
54,post apocalyptic junkyard mysterious religious order known church watch brutal competition warring tribe vie unify six territory thereby gain access nirvana promised land . wake one particularly unusual battle serph leader upstart embryon tribe rescue strange girl discovers fellow fighter gained ability transform terrifying demon warrior . new ability along enigmatic girl named serum threaten upend balance power junkyard within embryon,['Fantasy'],"['Action', 'Sci Fi']"
55,revolutionary meiji period japan undergoing enormous political change . time vagabond terrorist use method prevent modernization country even mean trampling innocent process . time himura kenshin wandering samurai dedicated life protecting weak desperate peasant would oppress . however kenshin dark past threatens destroy value fighting . meet new friend kaoru sanosuke yahiko try build peaceful life event conspire . kenshin overcome demon within without finally ensure peaceful future japan deserves,"['Action', 'Shounen']",['Action']
56,youngjun life comparing baseball genius hyun totally set standard yongjun baseball life num year ago . youngjun hated encounter . insecurity strong beat easier doubt hyun kindness push away . hyun never lived mediocre life enough reason hate . although time youngjun take eye hyun never left . keystone romantic combo,[],"['Drama', 'Yaoi']"
57,world everyone take wonder like magic spell dragon granted coco girl simple dream want witch . everybody know magician born made coco born gift magic . resigned magical life traveling magician pass village coco learns everybody know might truth,"['Adventure', 'Comedy', 'Drama', 'Fantasy']",['Fantasy']
58,haimura kiri seemingly ordinary boy one slight problem obsessed cutting people hair . one day meet mushiyanokouji iwai hair queen can not cut hair inherited curse . kiri find scissor dansai bunri crime edge thing cut . little know tha haimura kiri seemingly ordinary boy one slight problem obsessed cutting people hair . one day meet mushiyanokouji iwai hair queen can not cut hair inherited curse . kiri find scissor dansai bunri,"['Action', 'Fantasy', 'Romance']","['Comedy', 'Romance', 'Shoujo']"
59,one looking love find . problem arise kako find object desire men around . ever break men find real love,"['Comedy', 'Romance', 'School Life']","['Romance', 'Shoujo']"
60,mitsuha taki two total stranger living completely different life . mitsuha make wish leave mountain town bustling city tokyo become connected bizarre way . dream boy living tokyo taki dream girl rural town never . newfound connection mean . bring together,"['Drama', 'Romance', 'School Life', 'Supernatural']","['Romance', 'Shoujo']"
61,dance . sing . speak english . hello cocomong series musical episode teaching kid song dance . large amount episode aimed teach english korean speaking child though intention lost official english dub show,[],['Comedy']
62,futuristic japan water risen population declined everything slowly winding . quiet reflective time alpha robot care owner cafe absence . alpha life serene peaceful life interacting human robot alike gentle twilight year humanity unveiled,[],['Sci Fi']
63,caitlin work hotel raising fleur daughter cousin amelie killed car accident . one day sexy guest named matthew delaney stay hotel . caitlin thought would never love boyfriend betrayal could still enjoy comfort sweet night attractive hotel guest . next morning single phone call threatens erase wonderful dream . matthew answer refers rhys morgan amelie husband . come hotel caitlin work using fake name,['Romance'],['Romance']
64,new game nation dived . bloody battlefield pyramid ancient time head colourful world galaxian . glorious day legendary gamer ark . finding job saving party humiliating death nothing easily solved,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Sci Fi']","['Action', 'Adventure', 'Fantasy']"
65,eccentric tamaki brain research . hashi num half small fragment car remained brain accident since help say loud everything think feel . hana num unexpected orgasm anytime anywhere even public . brain num year old mari can not perceive people around life isolated world human apart . hideo num say super power get touch alien god,['Drama'],"['Comedy', 'Romance', 'Sci Fi']"
66,top secret moekko island man named kanzaki takahiro unconditionally train combat maid duty . older inefficient model named rinia brought island however takahiro voice disapproval take company order . washing window cooking keeping company clean squad invading never dull moment life takahiro rei company representative bumbling rinia gothic kazusa rest combat maid moekko island,"['Comedy', 'Romance']",['Comedy']
67,let outsider touch thee lest thou shalt cursed forever . upon time land far away divided two realm . outside roamed teratomorphic creature power curse whoever touched . human could live safely inside . lost little girl inside named shiva demonic beast looking outsider simply known teacher initiate quiet coexistence side forest bond seems transcend incompatible nature . beginning folktale two outcast one human one inhuman linger hazy twilight separate night day,"['Shounen', 'Supernatural']","['Drama', 'Fantasy', 'Supernatural']"
68,zoids beast like fighting machine used everyday use transportation special use war . type zoids know organoids miniature zoids living organism . organoids capability fuse non living zoid make much powerful . van ban freiheit discovers zoid organoid abandoned laboratory running two stranger piloting zoids . also laboratory animated suspension tube strange girl . break tube open take organoid . spotting ruined shield liger zoid outside nearby organoid fuse repair damage . making escape van name organoid zeke decides keep,"['Action', 'Adventure', 'Comedy']","['Comedy', 'Shounen']"
69,let cute face fool . guy complete pervert . yoji kuroe graphic design student mishima design academy approach fashion student toma kishida request cosplay costume . however price num num bit yoji range toma make yoji offer resist waive fee altogether yoji model . yoji agrees end skin tight full body spandex . thus mutually beneficial . arrangement escalates skin tight heart throbbing battle will,['Yaoi'],['Yaoi']
70,taking place current day tokyo agf follows story fubuki video game enamored teen title champion arcade gamer . fubuki secret weapon fashion panty activated release spirit best gamers world making invincible . year championship right around corner fubuki might find head year four king gyurashikku dan hell bent stealing championship title consequently taking world,"['Comedy', 'Shoujo']",['Comedy']
71,lost saving female con artist han taeil prepares commit suicide . point mysterious man appears extends contract take han taeil back past . given seemingly golden opportunity taeil excited rectify past . know contract came crucial stipulation,[],"['Action', 'Drama', 'Romance']"
72,first person shouko gone first person confessed . name asakawa . problem girlfriend treasured much dumped two month ago . really love shouko would call name want . though,"['Romance', 'School Life', 'Shoujo']","['Comedy', 'Drama', 'Romance']"
73,spring time april last cherry blossom still bloom . usually aloof bookworm interest others come across book hospital waiting room . handwritten cover word living dying . soon discovers diary kept popular genuinely cheerful classmate sakura yamauchi reveals secretly suffering pancreatic illness limited time left . moment gain one person share secret . trying maintain normal life much possible sakura determined live life fullest last day . free spirit unpredictable action throw loop heart begin gradually change,['Drama'],['Drama']
74,stubborn spoiled num year old chihiro ogino pleased parent discover abandoned amusement park way new house . cautiously venturing inside realizes place meet eye strange thing begin happen dusk fall . ghostly apparition food turn parent pig start chihiro unwittingly crossed spirit world . trapped must summon courage live work amongst spirit help enigmatic haku cast unique character meet along way . vivid intriguing sen chihiro kamikakushi tell story chihiro journey unfamiliar world strives save parent return home,"['Adventure', 'Drama', 'Supernatural']","['Fantasy', 'Supernatural']"
75,year turned sixteen girl sex stranger met single chat line . remember much except nondescript anyone since . chatting friend however discovers something man leaf terrified,['Drama'],['Romance']
76,madoka accepted odd temper beast like guy misao continues sex friend . truth want heart . afraid dumped confess feeling . order graduate relationship madoka take action,"['Drama', 'Romance', 'Shoujo']","['Drama', 'Romance', 'School Life', 'Shoujo']"
77,first time precure series num year history story star twinkle precure set outer space . begin protagonist hikaru hoshina second grade junior high meet mysterious creature named fuwa two alien lala hagoromo prunce . arrived earth . hikaru learns star princess num star sign kept balance universe scared star sky world far earth attacked someone scattered num princess star color pen . fuwa attacked notoraider seek rule universe hikaru want save baby fairy transforms precure .,"['Action', 'Fantasy', 'Shoujo']","['Fantasy', 'Shoujo']"
78,one fateful evening two twin named suou shion gazing night sky father falling star fell upon turning shion contractor . two year later try live normal life . unknown men break house one day duo escape shion vanishes suou find masked contractor hei . together suou hei try discover several nefarious syndicate shion chased importantly happened fateful night two year ago,"['Action', 'Sci Fi']",['Action']
79,phoron tatara ordinary musician . one rare dantists summon elder spirit using music called commandia gift strong spirit partner none infamous corticarte apa lagranges . sure may look like young girl human form get nickname like crimson annihilator bloody duchess sitting back watching daisy grow . behest tsuge divine music player office dynamic duet travel continent polyphonica phoron combination motorcycle organ following song open road orchestrating rescue generally fixing whatever baroque . musician wait,"['Drama', 'Fantasy', 'Romance']","['Fantasy', 'Romance']"
80,gou chan arrives earth search heart plasma restore peace home planet panda . meet human girl named moko life farm grandfather several strange animal called chinjuumin . pas day enjoyably trouble begin human invade forest home chinjuumin looking capture . meanwhile moko family life get complicated grandmother arrives city,"['Fantasy', 'Sci Fi']",['Comedy']
81,shiroi gekkou simple boy grew mountain . travel city duty protect hikaru perverted twisted guy try thing get hikaru panty . shiroi want,"['Action', 'Comedy']","['Comedy', 'Yaoi']"
82,become suitable lover . pay father debt . poor virgin miku ended applying lover distantly related ceo take lover lesson handsome butler . sofa mansion suite high class hotel undergoing lecture butler cause miku virgin weaken,"['Drama', 'Romance', 'Shoujo']",['Romance']
83,whenever keiichi away time belldandy skuld urd play . follow adventure goddess shrink fun rat sidekick gan chan . battling gan zilla kitchen appliance romance mini goddess good time,"['Comedy', 'Fantasy']","['Comedy', 'Fantasy']"
84,joon sang move rural city south korea . one day joon sang soon fall love jin . love cut short joon sang loses memory serious auto accident . joon sang mother joon sang brainwashed remember painful memory . result joon sang memory prior accident erased . joon sang mother decides move united state joon sang . friend teacher told joon sang dead . ten year later joon sang return korea jin see street prompting put engagement childhood friend sang hyuk . little know joon,"['Drama', 'Romance']","['Drama', 'Romance']"
85,life nurse crazy enough throw cute doctor mix thing start get little tricky . especially cute doctor try work charm every chance get . puppy eye tousled brown hair blue scrub . could anyone resist,"['Drama', 'Romance']",['Romance']
86,dorm male female student live together order child . miyu enrolls school dorm domineering yet attractive dorm leader heiji becomes roommate . miya resists heiji first two gradually grow closer living together,['Romance'],"['Romance', 'School Life']"
87,romantic comedy fuwa guy living small apartment overcrowded tokyo want place . building accident new office building fuwa company num employee move apartment right moved larger place . new employee hiyama izumi num year old girl move fuwa place come country . fuwa old girlfriend tokiko already gotten married ran away husband came fuwa place,"['Comedy', 'Romance']","['Comedy', 'Romance']"
88,tong timid useless evil spirit . yan extremely bold incomparably talented man could touch evil spirit . evil spirit needed rely absorbing human fear sustenance yan afraid tong earthbound spirit leave tong worry hungry everyday get frightened yan get mocked yan done yan,"['Comedy', 'Romance', 'Supernatural']",['Comedy']
89,middle num century global warming turned tokyo tropical city . reduce temperature heart city num num city reborn world largest forest city . however despite flow refugee new city atlas many resident actually live . moreover anti government guerilla attempting stop forestation,"['Action', 'Adventure', 'Drama', 'Sci Fi', 'Shounen']",[]
90,second year high school student sou kagaya appears charismatic kid surface actually shrewd calculating inside . life change meet asahi nagamine life pace without caring people think . challenge store mismatched couple first love,"['Romance', 'School Life']","['Comedy', 'Drama', 'Romance', 'School Life']"
91,earth happened last night . hustling life three job extremely average sunwoo meet zeus secret prince zerdel one fateful night . unlikely pair grow closer retrace memory relationship shaken hidden past prime minister hold key secret,"['Drama', 'Fantasy', 'Romance']","['Fantasy', 'Romance']"
92,wandering desert day bitter warrior named munsu lost unable continue . life unexpectedly saved mon ryon young man dream becoming secret agent jushin great country recently destroyed . mon ryon goal save girlfriend chunhyan born fighter held captive evil lord byonand nowhere blood begin trickling mon ryon chest . fatally wounded sarinjas cannibalistic breed desert goblin . quick thinking munsu convinces beast spare life exchange peaceful handover mon ryon appetising corpse,"['Action', 'Fantasy']",['Action']
93,ever since horde seemingly immortal mindless giant emerged century ago humanity eking secluded existence behind series concentric wall . precarious peace last childhood friend eren armin mikasa witness end world know embark infernal journey paradise sight . novelization part mega hit comic theatrical adaptation series familiar setting plot theme reconfigured compact whole fully accessible uninitiated strangely clarifying fan original,"['Action', 'Drama', 'Fantasy']",['Action']
94,six year ago young martial artist jinnosuke mysteriously inflicted brutal damage opponent leading power sealed safety . present jinnosuke attends high school fight impromptu martial art battle peer something inside changing sure . however father secretly try extend seal another jinnosuke past want get hand boy nefarious purpose,"['Action', 'School Life', 'Shounen']","['Action', 'Shounen']"
95,hey shin . ready round num . guy like cat want want . come feel like . without seeing shiina savant guitarist come back shin editor music magazine . shiina crazy good guitar done japanese music industry . bothered venture japan plea leaving longtime lover shin dust . shin stand shiina going cold whenever two reuinated heat definitely plenty cooing moaning begging love story swept whilwind romance intense feeling adoration inferiority towards talented individual rumbling two make adult read,"['Drama', 'Romance', 'Yaoi']",['Yaoi']
96,ren zhu quiet . quiet . look blackboard . going start teaching . bear child num hahaha . weak chicken . bear child num may well dance listen class . start class . fake good child sit upright . ren zhu goal teach educate people bring love every bear child,"['Comedy', 'School Life']","['Comedy', 'Romance']"
97,chimera people infused animal dna order give superpower ability however society favor live fear rejection . main character code name num work mercenary happens upon old acquaintance . given job protect transport enoch girl sought perfect material border canada,"['Action', 'Drama', 'Fantasy']","['Action', 'Adventure']"
98,due pay debt lover disappeared shiki destined living poverty . one night discovered man collapsed park since worried took home . collapsed man ended tenma extremely famous top model . tenma quickly hand debt collector large sum money front surprised shiki tell provide service body bought . moved num num room kitchen apartment started living together . famous person living apartment . despite bewilderd shiki look tenma,"['Romance', 'Yaoi']","['Drama', 'Romance', 'Yaoi']"
99,sudden death parent young woman named shiori kanzaki find picture man belief grandfather . travel azaka village apparently hope meeting . however arrives instead find tiny village museum realizes lived young girl . meet sakuma middle school girl tends get trouble suga strange manager museum communicates written memo suga grudgingly allows stay museum research family . run across village legend kotori obake demon woman abducts child nearby forest . story connected shiori past . hear voice calling commanding come fulfill promise understanding,"['Drama', 'Supernatural']",['Supernatural']
100,shuka nakagawa man woman manga world . cute feminine thing new editor kenji asama compete woman artist publication . kenji support far shuka far fall,"['Romance', 'School Life']",['Comedy']
101,callie secretary new york spent three year pining bos ceo eduardo . always seen capable overwhelmingly charming man also know workaholic playboy . one christmas eve spends night next morning drive bed calling liar . callie find pregnant left little choice marry old friend . day wedding however callie stand secondhand dress awaiting arrival eduardo come along take away force declaring wife next three month,['Romance'],['Romance']
102,nanba tsuyoshi leading double life . part hardcore delinquent family supposed traditional ichimatsu high school top fighter . instead secretly attending high class shirayuri high school normal kid . thing seem going well . skill top fighter sneak ichimatsu knock competitor . afterwards switch back mild mannered art club president student council president alter ego . little help trusted friend kept two life safely separate . everything get little harder little sister ginko decides attend shirayuri high school . able keep identity secret,"['Action', 'Comedy', 'School Life', 'Shounen']","['Action', 'Comedy', 'School Life', 'Shounen']"
103,world gun steel gun gale online llenn devoted female solo player . obsessed two thing donning entirely pink honing skill consistent game play . soon discovers love hunting player . soon known pink devil meanwhile llenn meet beautiful yet mysterious player pitohui two click right away . told pitohui enters squad jam group battle,"['Action', 'Sci Fi']","['Action', 'Fantasy']"
104,hari destitute girl got adopted duke ernst num year old lost mother ernst lost youngest daughter arina sought hari due resemblance late girl . even though received kind persecution three ernst son num year life ernst estate could finally escape blood tear inducing life get married . woke sleep back hellish childhood . dream . hmph . wake dream least live without much consideration others . like hari decided astray,"['Drama', 'Fantasy', 'Romance']","['Drama', 'Fantasy', 'Romance']"
